"","listname","description","source","groups","Species","tissue","shortname","ensemble.genes"
"47","E18.5 MG Male SPF>GF","Germ Free vs SPF microglia from male and female mice during development","Thion et al., 2018","Microglia Development","mouse","microglia","E18.5 MG Male SPF>GF",1169
"48","E18.5 MG Male<Female","Germ Free vs SPF microglia from male and female mice during development","Thion et al., 2018","Microglia Development","mouse","microglia","E18.5 MG Male<Female",11
"49","E18.5 MG Male>Female","Germ Free vs SPF microglia from male and female mice during development","Thion et al., 2018","Microglia Development","mouse","microglia","E18.5 MG Male>Female",9
"50","E18.5 MG SPF>GF","Germ Free vs SPF microglia from male and female mice during development","Thion et al., 2018","Microglia Development","mouse","microglia","E18.5 MG SPF>GF",18
"51","earlyminusMG cluster","Gene cluster with higher expression in early progenitors compared to other microglia developmental timepoints","Matcovitch-Natan, et al., 2016","Microglia Development","mouse","microglia","early MG cluster",1199
"52","Eed KO < WT MG","genes with lower expression in Eed-deficient (PRC2) stratium microglia vs. WT, TRAP isolation","Ataya, et al., 2018","Microglia","mouse","microglia","Eed KO < WT MG",213
"53","Eed KO > WT MG","genes with higher expression in Eed-deficient (PRC2) stratium microglia vs. WT, TRAP isolation","Ataya, et al., 2018","Microglia","mouse","microglia","Eed KO > WT MG",213
"54","Female P60 MG LPS vs SAL","RNA sequencing acutely isolated microglia from females 2hours after systemic LPS or Saline injection","Hanamsagar et al., 2017","Microglia","mouse","microglia","Female P60 MG LPS vs SAL",663
"55","FMRP target genes","FMRP HITS-CLIP targets P11-25 male mouse brain","Darnell, et al., 2011","ASD regulators","mouse","brain","FMRP target",719
"56","Gandal AAD<Ctrl","RNAseq Alcohol Abuse","Gandal, et al., 2018","Neuropsychatic & Neurodevelopmental Disorders human brain","human","brain","AAD<Ctrl",396
"57","Gandal AAD>Ctrl","RNAseq Alcohol Abuse","Gandal, et al., 2018","Neuropsychatic & Neurodevelopmental Disorders human brain","human","brain","AAD>Ctrl",405
"58","Gandal ASD<Ctrl","RNAseq ASD brain","Gandal, et al., 2018","Neuropsychatic & Neurodevelopmental Disorders human brain","human","brain","ASD<Ctrl",1336
"59","Gandal ASD>Ctrl","RNAseq ASD brain","Gandal, et al., 2018","Neuropsychatic & Neurodevelopmental Disorders human brain","human","brain","ASD>Ctrl",1161
"60","Gandal BD<Ctrl","RNAseq Bipolar Disorder","Gandal, et al., 2018","Neuropsychatic & Neurodevelopmental Disorders human brain","human","brain","BD<Ctrl",260
"61","Gandal BD>Ctrl","RNAseq Bipolar Disorder","Gandal, et al., 2018","Neuropsychatic & Neurodevelopmental Disorders human brain","human","brain","BD>Ctrl",245
"62","Gandal IBD<Ctrl","RNAseq Irritable Bowel Disease","Gandal, et al., 2018","Neuropsychatic & Neurodevelopmental Disorders human brain","human","brain","IBD<Ctrl",4482
"63","Gandal IBD>Ctrl","RNAseq Irritable Bowel Disease","Gandal, et al., 2018","Neuropsychatic & Neurodevelopmental Disorders human brain","human","brain","IBD>Ctrl",4365
"64","Gandal MDD<Ctrl","RNAseq Major Depressive Disorder","Gandal, et al., 2018","Neuropsychatic & Neurodevelopmental Disorders human brain","human","brain","MDD<Ctrl",118
"65","Gandal MDD>Ctrl","RNAseq Major Depressive Disorder","Gandal, et al., 2018","Neuropsychatic & Neurodevelopmental Disorders human brain","human","brain","MDD>Ctrl",132
"66","Gandal SCZ<Ctrl","RNAseq Schizophrenia","Gandal, et al., 2018","Neuropsychatic & Neurodevelopmental Disorders human brain","human","brain","SCZ<Ctrl",1200
"67","Gandal SCZ>Ctrl","RNAseq Schizophrenia","Gandal, et al., 2018","Neuropsychatic & Neurodevelopmental Disorders human brain","human","brain","SCZ>Ctrl",874
"68","genes with LGD mutations in ASD","Likely gene disrupting mutation (LGD) in ASD","Iossifov, et al., 2014","ASD genetics","human","blood","ASD LGD mutations",345
"69","genes with LGD mutations in ID","Likely gene disrupting mutation (LGD) in ID","Iossifov, et al., 2014","ASD genetics","human","blood","ID genetic risk",30
"70","Germ Free<Ctrl","genes downregulated in microglia from mice in a germ free environment compared to standard housing","Erny, et al. 2015","Microglia","mouse","microglia","Germ Free < Ctrl",113
"71","Germ Free>Ctrl","genes upregulated in microglia from mice in a germ free environment compared to standard housing","Erny, et al. 2015","Microglia","mouse","microglia","Germ Free > Ctrl",143
"72","Gupta ASD<Ctrl","RNAseq ASD brain FDR p<0.05","Gupta, et al., 2014","Neuropsychatic & Neurodevelopmental Disorders human brain","human","brain","ASD<Ctrl",897
"73","Gupta ASD>Ctrl","RNAseq ASD brain FDR p<0.05","Gupta, et al., 2014","Neuropsychatic & Neurodevelopmental Disorders human brain","human","brain","ASD>Ctrl",800
"74","ID genes","SysID currated database of ID genes","Kochinke et al., 2016","ASD genetics","human","blood","ID genetic risk",645
"75","Incr MG with Neuron activation","higher expression in microglia from striatum with neuronal activation CNO","Badimon et al., 2020","Microglia","mouse","microglia","Incr MG with Neuron activation",176
"76","Incr MG with Neuron silencing","higher expression in microglia from striatum with neuronal silencing","Badimon et al., 2020","Microglia","mouse","microglia","Incr MG with Neuron silencing",215
"77","Known ID","Known genes related to intellectual disability in humans","Gilissen, et al., 2014","ASD genetics","human","blood","ID genetic risk",514
"78","LPS < PBS MG","lower expression in microglia 16hrs after injection of 100ng LPS","Krasemann, et al., 2018","Microglia","mouse","microglia","LPS < PBS MG",187
"79","LPS > PBS MG","higher expression in microglia 16hrs after injection of 100ng LPS","Krasemann, et al., 2018","Microglia","mouse","microglia","LPS > PBS MG",41
"80","LPS<Ctrl acute","Weighted Gene Co-expression Network meta- analysis multiple microglial RNAseq datasets","Holtman et al., 2015","Microglia","mouse","microglia","LPS<Ctrl acute",1942
"81","LPS>Ctrl acute","Weighted Gene Co-expression Network meta- analysis multiple microglial RNAseq datasets","Holtman et al., 2015","Microglia","mouse","microglia","LPS>Ctrl acute",1688
"82","LPSx1<LPSx4 post 6 months DEGs","LPSx1<LPSx4 6 month later whole brain DEGs","Wendeln et al., 2018","Microglia","mouse","microglia","LPSx1<LPSx4 post 6 months DEGs",55
"83","LPSx1>LPSx4 post 6 months DEGs","LPSx1>LPSx4 6 month later whole brain DEGs","Wendeln et al., 2018","Microglia","mouse","microglia","LPSx1>LPSx4 post 6 months DEGs",65
"84","MAA MG DEGs","PND35 Female Microglia","Vogel Ciernia, et al., 2017","Microglia","mouse","microglia","MAA DE",152
"85","Male P60 MG LPS vs SAL","RNA sequencing acutely isolated microglia from males 2hours after systemic LPS or Saline injection","Hanamsagar et al., 2017","Microglia","mouse","microglia","Male P60 MG LPS vs SAL",1423
"86","MeCP2 het female MG 24wks","differential expression microglia isolated from MeCP2-/+ females 24wks (fully-symptomatic)","Zhao, et al., 2017","Microglia","mouse","microglia","MeCP2 het female MG 24wks",68
"87","MeCP2 het female MG 5wks","differential expression microglia isolated from MeCP2-/+ females 5wks (pre-symptomatic)","Zhao, et al., 2017","Microglia","mouse","microglia","MeCP2 het female MG 5wks",387
"88","MeCP2minusy MG symp","differential gene expressoin symptomatic MeCP2-/y null male microglia","Cronk et al., ","Microglia","mouse","microglia","MeCP2minusy MG symp",582
"89","Mef2cKO<WT MG","Mef2cKO<WT MG RNAseq","Deczkowska et al. 2018","Microglia","mouse","microglia","Mef2cKO>WT MG",322
"90","Mef2cKO>WT MG","Mef2cKO>WT MG RNAseq","Deczkowska et al. 2018","Microglia","mouse","microglia","Mef2cKO>WT MG",303
"91","MIA PolyIC GD14 4wk","differential gene expression polyI:C MIA on GD14, whole brain microglia 4wks","Matcovitch-Natan, et al., 2016","Microglia","mouse","microglia","MIA PolyIC GD14 4wk",39
"92","MIA PolyIC GD14 P0","differential gene expression polyI:C MIA on GD14, whole brain microglia P0","Matcovitch-Natan, et al., 2016","Microglia","mouse","microglia","MIA PolyIC GD14 P0",445
"93","MIA PolyIC plus mino<Ctrl ","RNA sequencing male P80 isolated microglia, control,  PolyIC MIA (GD 15), PolyIC MIA (GD 15) + minocycline (P70_P80 in drinking water)","Mattei, et al. 2017","Microglia","mouse","microglia","MIA PolyIC plus mino < Ctrl ",1
"94","MIA PolyIC plus mino<MIA","RNA sequencing male P80 isolated microglia, control,  PolyIC MIA (GD 15), PolyIC MIA (GD 15) + minocycline (P70_P80 in drinking water)","Mattei, et al. 2017","Microglia","mouse","microglia","MIA PolyIC plus mino < MIA",312
"95","MIA PolyIC plus mino>Ctrl ","RNA sequencing male P80 isolated microglia, control,  PolyIC MIA (GD 15), PolyIC MIA (GD 15) + minocycline (P70_P80 in drinking water)","Mattei, et al. 2017","Microglia","mouse","microglia","MIA PolyIC plus mino > Ctrl ",15
"96","MIA PolyIC plus mino>MIA ","RNA sequencing male P80 isolated microglia, control,  PolyIC MIA (GD 15), PolyIC MIA (GD 15) + minocycline (P70_P80 in drinking water)","Mattei, et al. 2017","Microglia","mouse","microglia","MIA PolyIC plus mino > MIA ",500
"97","MIA PolyIC<Ctrl","RNA sequencing male P80 isolated microglia, control,  PolyIC MIA (GD 15), PolyIC MIA (GD 15) + minocycline (P70_P80 in drinking water)","Mattei, et al. 2017","Microglia","mouse","microglia","MIA PolyIC < Ctrl",659
"98","MIA PolyIC>Ctrl  genes","RNA sequencing male P80 isolated microglia, control,  PolyIC MIA (GD 15), PolyIC MIA (GD 15) + minocycline (P70_P80 in drinking water)","Mattei, et al. 2017","Microglia","mouse","microglia","MIA PolyIC > Ctrl ",500
"99","Microglial Sensome","Direct RNA sequencing of microglia from young and aged mice, top 100 genes showing ligand and microbial recognition to sense changes in the environment","Hickman, et al., 2013","Microglia","mouse","microglia","Microglial Sensome",89
"100","Miller AD<Ctrl","RNAseq Alzheimers' Disease","Miller et al., 2013","Neuropsychatic & Neurodevelopmental Disorders human brain","human","brain","AD<Ctrl",42
"101","Miller AD>Ctrl","RNAseq Alzheimers' Disease","Miller et al., 2013","Neuropsychatic & Neurodevelopmental Disorders human brain","human","blood","AD>Ctrl",241
"102","mir155 KO vs WT phagocytic MG","DEGs in mir155-/- microglia vs WT microglia after cortical injection of apoptotic neurons","Krasemann, et al., 2018","Microglia","mouse","microglia","mir155 KO vs WT phagocytic MG",40
"103","Missense","Missense mutation in ASD","Iossifov, et al., 2014","ASD genetics","human","blood","Missense",1694
"104","Missense Recurrent","missense mutations with more than one reurrance in ASD","Iossifov, et al., 2014","ASD genetics","human","blood","Missense Recurrent",146
"105","MS.GM<Ctrl.GM","Microglia Human MS Grey Matter < Control Grey Matter","Poel et al. 2019","inflammation","human","microglia","MS.GMlessCtrl.GM",35
"106","MS.GM<MS.WM","Microglia Human MS Grey Matter < MS White Matter","Poel et al. 2019","inflammation","human","microglia","MS.GMlessMS.WM",397
"107","MS.GM>CtrlGM","Microglia Human MS Grey Matter > Control Grey Matter","Poel et al. 2019","inflammation","human","microglia","MS.GMgreaterCtrlGM",60
"108","MS.GM>MS.WM","Microglia Human MS Grey Matter > MS White Matter","Poel et al. 2019","inflammation","human","microglia","MS.GMgreaterMS.WM",159
"109","MS.WM>Ctrl.WM","Microglia Human MS White Matter > Control White Matter","Poel et al. 2019","inflammation","human","microglia","MS.WMgreaterCtrl.WM",16
"110","P14 FvsM MG","RNAseq differentially expressed genes P14 male vs female","Hanamsagar et al., 2017","Microglia","mouse","microglia","P14 FvsM",3
"111","P14 vs P60 female MG","RNAseq differentially expressed genes P14 vs P60 female","Hanamsagar et al., 2017","Microglia Development","mouse","microglia","P14 vs P60 female MG",2640
"112","P14 vs P60 male MG","RNAseq differentially expressed genes P14 vs P60 male","Hanamsagar et al., 2017","Microglia Development","mouse","microglia","P14 vs P60 male MG",3768
"113","P4 vs P14 female MG","RNAseq differentially expressed genes P4 vs P14 female","Hanamsagar et al., 2017","Microglia Development","mouse","microglia","P4 vs P14 female MG",2379
"114","P4 vs P14 male MG","RNAseq differentially expressed genes P4 vs P14 male","Hanamsagar et al., 2017","Microglia Development","mouse","microglia","P4 vs P14 male MG",2755
"115","P4 vs P60 female MG","RNAseq differentially expressed genes P4 vs P60 female","Hanamsagar et al., 2017","Microglia Development","mouse","microglia","P4 vs P60 female MG",3910
"116","P4 vs P60 male MG","RNAseq differentially expressed genes P4 vs P60 male","Hanamsagar et al., 2017","Microglia Development","mouse","microglia","P4 vs P60 male MG",3084
"117","P60 MG ABX Female>Male","Germ Free vs SPF microglia from male and female mice during development","Thion et al., 2018","Microglia Development","mouse","microglia","P60 MG ABX Female>Male",2
"118","P60 MG ABX Male>Female","Germ Free vs SPF microglia from male and female mice during development","Thion et al., 2018","Microglia Development","mouse","microglia","P60 MG ABX Male>Female",5
"119","P60 MG ABX>SPF","Germ Free vs SPF microglia from male and female mice during development","Thion et al., 2018","Microglia Development","mouse","microglia","P60 MG ABX>SPF",30
"120","P60 MG Female ABX>SPF","Germ Free vs SPF microglia from male and female mice during development","Thion et al., 2018","Microglia Development","mouse","microglia","P60 MG Female ABX>SPF",18
"121","P60 MG Female GF>SPF","Germ Free vs SPF microglia from male and female mice during development","Thion et al., 2018","Microglia Development","mouse","microglia","P60 MG Female GF>SPF",226
"122","P60 MG Female SPF>ABX","Germ Free vs SPF microglia from male and female mice during development","Thion et al., 2018","Microglia Development","mouse","microglia","P60 MG Female SPF>ABX",22
"123","P60 MG Female SPF>GF","Germ Free vs SPF microglia from male and female mice during development","Thion et al., 2018","Microglia Development","mouse","microglia","P60 MG Female SPF>GF",207
"124","P60 MG GF Female>Male","Germ Free vs SPF microglia from male and female mice during development","Thion et al., 2018","Microglia Development","mouse","microglia","P60 MG GF Female>Male",322
"125","P60 MG GF Male>Female","Germ Free vs SPF microglia from male and female mice during development","Thion et al., 2018","Microglia Development","mouse","microglia","P60 MG GF Male>Female",69
"126","P60 MG GF>SPF","Germ Free vs SPF microglia from male and female mice during development","Thion et al., 2018","Microglia Development","mouse","microglia","P60 MG GF>SPF",19
"127","P60 MG Male ABX>SPF","Germ Free vs SPF microglia from male and female mice during development","Thion et al., 2018","Microglia Development","mouse","microglia","P60 MG Male ABX>SPF",50
"128","P60 MG Male GF>SPF","Germ Free vs SPF microglia from male and female mice during development","Thion et al., 2018","Microglia Development","mouse","microglia","P60 MG Male GF>SPF",13
"129","P60 MG Male SPF>ABX","Germ Free vs SPF microglia from male and female mice during development","Thion et al., 2018","Microglia Development","mouse","microglia","P60 MG Male SPF>ABX",42
"130","P60 MG Male SPF>GF","Germ Free vs SPF microglia from male and female mice during development","Thion et al., 2018","Microglia Development","mouse","microglia","P60 MG Male SPF>GF",13
"131","P60 MG SPF Female>Male","Germ Free vs SPF microglia from male and female mice during development","Thion et al., 2018","Microglia Development","mouse","microglia","P60 MG SPF Female>Male",332
"132","P60 MG SPF Male>Female","Germ Free vs SPF microglia from male and female mice during development","Thion et al., 2018","Microglia Development","mouse","microglia","P60 MG SPF Male>Female",192
"133","P60 MG SPF>ABX","Germ Free vs SPF microglia from male and female mice during development","Thion et al., 2018","Microglia Development","mouse","microglia","P60 MG SPF>ABX",35
"134","P60 MG SPF>GF","Germ Free vs SPF microglia from male and female mice during development","Thion et al., 2018","Microglia Development","mouse","microglia","P60 MG SPF>GF",18
"135","P60 MvsF LPS","RNAseq from adult (P60) male vs female mice 2hrs after LPS injection","Hanamsagar et al., 2017","Microglia","mouse","microglia","P60 MvsF LPS",2
"136","Parikshak ASD<Ctrl","RNAseq ASD brain","Parikshak et al., 2016","Neuropsychatic & Neurodevelopmental Disorders human brain","human","brain","ASD<Ctrl",500
"137","Parikshak ASD>Ctrl","RNAseq ASD brain","Parikshak et al., 2016","Neuropsychatic & Neurodevelopmental Disorders human brain","human","brain","ASD>Ctrl",546
"138","PBS<LPSx1 post 6 months DEGs","PBS<LPSx1 6 month later whole brain DEGs","Wendeln et al., 2018","Microglia","mouse","microglia","PBS<LPSx1 post 6 months DEGs",118
"139","PBS<LPSx4 post 6 months DEGs","PBS<LPSx4 6 month later whole brain DEGs","Wendeln et al., 2018","Microglia","mouse","microglia","PBS<LPSx4 post 6 months DEGs",238
"140","PBS>LPSx1 post 6 months DEGs","PBS>LPSx1 6 month later whole brain DEGs","Wendeln et al., 2018","Microglia","mouse","microglia","PBS>LPSx1 post 6 months DEGs",159
"141","PBS>LPSx4 post 6 months DEGs","PBS>LPSx4 6 month later whole brain DEGs","Wendeln et al., 2018","Microglia","mouse","microglia","PBS>LPSx4 post 6 months DEGs",250
"142","PLI>0.9","LGD mutations with more than one reurrance in ASD","Lek, et al., 2016","Neuropsychatic & Neurodevelopmental Disorders human brain","human","blood","PLI>0.9",3171
"143","preminusMG cluster","Gene cluster with higher expression in pre-microglia progenitors compared to other microglia developmental timepoints","Matcovitch-Natan, et al., 2016","Microglia Development","mouse","microglia","preminusMG cluster",558
"144","PrimedMG Down","Weighted Gene Co-expression Network meta- analysis multiple microglial RNAseq datasets","Holtman et al., 2015","Microglia","mouse","microglia","PrimedMG Down",193
"145","PrimedMG UP","Weighted Gene Co-expression Network meta- analysis multiple microglial RNAseq datasets","Holtman et al., 2015","Microglia","mouse","microglia","PrimedMG UP",258
"146","PU 1 ChipSeq Targets","ChIPseq target genes","Satoh, et al., 2014","Microglia","mouse","macrophage","PU 1 ChipSeq Targets",4544
"147","Ramified > Amoeboid MG","DEGs with higher expression in ramified vs. amoeboid microglia","Parakalan et al. 2012","Microglia","rat","microglia","Ramified > Amoeboid MG",555
"148","Recovery EAE vs. CTRL spinal cord MG","DEGs in EAE vs. CTRL spinal cord microglia in recovery, nanostring array","Krasemann, et al., 2018","Microglia","mouse","microglia spinal cord","Recovery EAE vs. CTRL spinal cord MG",141
"149","Rett human brain DE genes","Rnaseq & microarray DE genes RTT","Lin et al., 2016","Neuropsychatic & Neurodevelopmental Disorders human brain","human","brain","Rett human brain DE",226
"150","Sal1delMG<Ctrl","Sal1del MG < Control MG adult array","Buttgereit et al. 2016","Microglia","mouse","microglia","Sal1delMG<Ctrl",234
"151","Sal1delMG>Ctrl","Sal1delMG>Ctrl","Buttgereit et al. 2016","Microglia","mouse","microglia","Sal1delMG>Ctrl",343
"152","Sanders High Risk ASD ","65 high confidence ASD risk genes","Sanders, et al., 2015","ASD genetics","human","blood","Sanders High Risk ASD ",63
"153","Schizophrenia LGD","LGD mutations linked to schizophrenia","Iossifov, et al., 2014","ASD genetics","human","blood","Schizophrenia LGD",88
"154","SCZ<Ctrl DGE","SCZ < Ctrl Differentially Gene Expression","Gandal et al 2018","Neuropsychatic & Neurodevelopmental Disorders human brain","human","brain","SCZ<Ctrl",1987
"155","SCZ>Ctrl DGE","SCZ > Ctrl Differentially Gene Expression","Gandal et al 2018","Neuropsychatic & Neurodevelopmental Disorders human brain","human","brain","SCZ>Ctrl",2200
"156","SFARI High Confidence","Currated database","https://gene.sfari.org/","ASD genetics","human","blood","SFARI ASD High Confidence",11
"157","SFARI Hypothesized","Currated database","https://gene.sfari.org/","ASD genetics","human","blood","SFARI ASD Hypothesized",153
"158","SFARI Minimal","Currated database","https://gene.sfari.org/","ASD genetics","human","blood","SFARI ASD Minimal",406
"159","SFARI Strong Candidate","Currated database","https://gene.sfari.org/","ASD genetics","human","blood","SFARI ASD Strong Candidate",46
"160","SFARI Suggestive","Currated database","https://gene.sfari.org/","ASD genetics","human","blood","SFARI ASD Suggestive",163
"161","SFARI Syndromic","Currated database","https://gene.sfari.org/","ASD genetics","human","blood","SFARI ASD Syndromic",152
"162","Young<Old MG","3 month MG < 22 month MG RNAseq","Deczkowska et al. 2018","Microglia","mouse","microglia","Young<Old MG",383
"163","Young>Old MG","3 month MG > 22 month MG RNAseq","Deczkowska et al. 2018","Microglia","mouse","microglia","Young>Old MG",301
"164","YS cluster","Gene cluster with higher expression in Yolk Sac progenitors compared to other microglia developmental timepoints","Matcovitch-Natan, et al., 2016","Microglia Development","mouse","microglia","YS cluster",346
